Ia,Ib,Ic,Va,Vb,Vc,output 
-10.3035855,-13.33287009,23.6364556,-1904.797481,-3729.344695,5634.142176,LG
-14.2187265,-13.59085956,27.80958606,-490.970949,-3958.841869,4449.812818,LG
-2.573209051,-8.969547108,8.139666858,-1498.013838,-3887.455735,5345.974052,LG
-14.1443034,-15.95558665,5.236782229,-203.4083697,-4188.644769,4105.688977,LG
-6.062698053,-17.33222427,0.086309446,-1221.740125,-4182.243296,5152.297969,LG
-16.91341403,-20.63058087,-0.550866361,60.49798092,-4423.464931,3958.054518,LG
-3.310234052,-16.26115194,-20.40913789,-862.8418282,-4342.927212,4799.706875,LG
-10.77697261,-17.02782999,-16.20193235,432.77357,-4545.30778,3688.074865,LG
0.886607413,-15.58795499,-30.96894939,-490.8935266,-4497.758975,4564.30526,LG
-10.50677789,-19.78613562,-30.65896204,731.9259735,-4729.890342,3423.647417,LG
-2.025754215,-20.50075058,-40.33123082,-202.7382772,-4700.3683,4332.089501,LG
-11.20590523,-22.77786057,-38.13460391,1024.187071,-4895.335881,3228.816904,LG
1.165776435,-20.08633891,-54.13855796,160.3157776,-4818.698705,4031.210387,LG
-6.199884707,-20.82558057,-51.65255317,1381.483203,-4985.16529,2949.046142,LG
3.726360402,-19.85200959,-63.51357314,508.9376867,-4924.611825,3773.159497,LG
-6.264916868,-23.1562632,-61.35789974,1673.16075,-5109.81757,2701.036325,LG
2.46876809,-23.43814278,-71.69192396,809.6553431,-5056.028184,3513.476588,LG
-5.578715213,-25.21722599,-68.70127369,1972.963003,-5209.198568,2464.215221,LG
5.310778943,-22.96271118,-81.55887292,1155.614728,-5118.098671,3217.114464,LG
-1.961495966,-23.86861503,-78.94450899,2300.864429,-5250.019129,2177.826881,LG
7.179897048,-23.16615964,-89.06300187,1480.841145,-5171.635748,2935.928203,LG
-1.644246653,-25.94487048,-85.62032239,2581.698818,-5313.503715,1919.060168,LG
6.910345757,-25.63165523,-95.17207426,1774.195741,-5231.243341,2655.163252,LG
-0.517880648,-26.99778217,-91.58436551,2866.491874,-5342.971692,1652.111425,LG
9.344840195,-25.08650253,-101.9886729,2091.771606,-5234.444548,2350.602806,LG
2.35206515,-26.20417686,-98.53516292,3161.977178,-5332.007292,1359.115624,LG
10.87960104,-25.47708497,-107.1146512,2386.907759,-5230.891234,2053.308322,LG
2.852283235,-27.68636372,-102.6911981,3418.589089,-5329.045245,1085.499454,LG
11.10714474,-26.9442812,-110.8891377,2656.496097,-5219.401688,1757.711651,LG
4.22532249,-28.10333983,-106.5588741,3675.923345,-5292.420963,800.8166797,LG
13.25980792,-26.41407856,-114.8858025,2937.328742,-5164.255952,1446.479548,LG
6.507013658,-27.53107248,-110.4015286,3931.000994,-5225.564316,504.2829416,LG
14.47691352,-26.65173547,-117.4189255,3192.820701,-5100.050454,1141.628517,LG
7.138243901,-28.40665457,-112.1174158,4153.135411,-5156.98872,221.4689908,LG
15.04377638,-27.39668815,-118.760477,3427.460803,-5022.002391,839.4602124,LG
8.573240699,-28.36636143,-113.5570792,4371.761267,-5057.764325,-69.41925071,LG
16.84927082,-26.76019398,-120.0061615,3662.100727,-4908.708702,528.5570471,LG
10.36819589,-27.77857935,-114.478467,4579.102897,-4934.286383,-363.3195831,LG
17.8533259,-26.75151532,-119.9138267,3870.852967,-4785.328897,225.3622357,LG
11.08473531,-28.12209955,-113.7585366,4757.979218,-4803.917683,-646.1560992,LG
18.5573417,-26.89776133,-118.8070145,4060.279926,-4645.383662,-73.75030774,LG
12.41411684,-27.67815471,-112.6750447,4928.358703,-4646.151474,-932.3564571,LG
20.02119842,-26.10347093,-117.3833518,4241.6459,-4477.071443,-375.3934072,LG
13.83114455,-26.97681285,-110.8667029,5082.252279,-4468.995925,-1215.6401,LG
20.84312298,-25.79369409,-114.7501211,4397.271136,-4298.375695,-667.4402959,LG
14.5314468,-26.82185126,-107.7590939,5210.106656,-4282.067459,-1488.30556,LG
21.53464839,-25.43540442,-111.2576307,4533.580045,-4102.765677,-953.3988895,LG
15.6772922,-26.04187711,-104.2163399,5325.493684,-4071.906325,-1759.534759,LG
22.67540004,-24.45946104,-107.3147468,4656.453498,-3884.782633,-1236.458956,LG
16.76144237,-25.1520766,-99.89566426,5421.226276,-3846.140866,-2023.452308,LG
23.30251931,-23.8214357,-102.3108132,4753.88383,-3656.765004,-1507.94831,LG
17.36859907,-24.55849118,-94.53307577,5492.481897,-3609.96423,-2275.927312,LG
23.88914597,-23.05001794,-96.58025531,4831.745285,-3413.419021,-1770.920116,LG
18.27941958,-23.48785889,-88.70663972,5548.33568,-3355.001923,-2522.576565,LG
24.70870893,-21.87284573,-90.34640922,4892.617954,-3152.857829,-2026.422717,LG
19.05228418,-22.37747488,-82.13941318,5582.872245,-3087.854871,-2758.474312,LG
25.12905051,-20.92117089,-83.21427876,4928.788589,-2883.594879,-2268.428386,LG
19.50807021,-21.41131318,-74.73978411,5594.193264,-2811.344756,-2981.468283,LG
25.54033078,-19.80919582,-75.4786879,4945.156836,-2601.714352,-2499.382707,LG
20.14865633,-20.08805208,-66.8950727,5588.198779,-2520.561629,-3194.860715,LG
26.04549902,-18.43407584,-67.25346433,4942.618593,-2307.373261,-2719.135856,LG
20.62492308,-18.76026853,-58.40108423,5560.484898,-2221.05416,-3394.750339,LG
26.2422943,-17.20322769,-58.30209759,4916.489457,-2006.484638,-2923.631299,LG
20.88251046,-17.48609882,-49.26070085,5510.771283,-1914.362367,-3580.095306,LG
26.43269446,-15.81710171,-48.87058437,4870.712558,-1696.411103,-3114.697648,LG
21.23682077,-15.95379193,-39.73543133,5442.935778,-1597.975956,-3752.741882,LG
26.63178258,-14.26598942,-39.0160309,4805.46156,-1378.426353,-3291.648451,LG
21.42418642,-14.4325744,-29.68717066,5353.936985,-1276.428992,-3909.738371,LG
26.5909901,-12.80311951,-28.61170469,4718.134208,-1056.670577,-3451.840265,LG
21.45373487,-12.91812521,-19.16788869,5244.401633,-950.6758767,-4050.672465,LG
26.53553367,-11.20912899,-17.85777698,4611.899596,-729.6217688,-3596.601069,LG
21.51764383,-11.22486424,-8.357368601,5116.958263,-619.7819269,-4176.523482,LG
26.43885308,-9.516935255,-6.785509686,4486.730221,-399.0479706,-3725.104809,LG
21.42418257,-9.550762265,2.827835542,4969.715961,-287.4122761,-4285.167235,LG
26.15409817,-7.880079152,4.658126848,4341.457868,-67.94363375,-3835.720989,LG
21.211057,-7.865518684,14.31325389,4803.800595,45.69241516,-4376.559025,LG
25.84359637,-6.143808722,16.31235462,4178.663471,264.3610185,-3929.417897,LG
20.99038843,-6.064569464,25.97112144,4621.104195,379.484988,-4451.214733,LG
25.4659921,-4.357177748,28.15416649,3998.404461,595.9434027,-4005.46586,LG
20.62848612,-4.289800485,37.84291997,4420.676032,711.0039221,-4507.705064,LG
24.93971038,-2.610256676,40.18970515,3800.485168,924.558389,-4062.959184,LG
20.17121086,-2.503979289,49.84655244,4203.894624,1039.555692,-4546.22346,LG
24.37844867,-0.798026206,52.28973834,3587.070105,1250.266682,-4102.65051,LG
19.68137936,-0.653269825,61.88735709,3972.265455,1364.521011,-4567.0857,LG
23.74040938,1.028468529,64.43136397,3358.434453,1571.188436,-4124.026701,LG
19.06895537,1.162831038,73.97618905,3725.564118,1683.504555,-4569.442002,LG
22.98428083,2.818401672,76.59254448,3115.028808,1885.579817,-4126.712863,LG
18.37841587,2.979099858,86.03197467,3465.294793,1995.804385,-4553.659597,LG
22.18820556,4.640034782,88.66881583,2858.743503,2193.104204,-4111.365157,LG
17.64306917,4.818748914,97.98106263,3192.784547,2300.512658,-4520.026588,LG
21.31621885,6.447238944,100.6345284,2590.105098,2492.038082,-4077.739376,LG
16.80480183,6.613371781,109.8137387,2908.353704,2595.696749,-4468.170099,LG
20.35115893,8.212460081,112.4524344,2309.98682,2780.99047,-4025.86064,LG
15.90251552,8.391306143,121.4544916,2613.559222,2880.650119,-4398.606203,LG
19.34597177,9.978018901,124.0375885,2020.103278,3059.406044,-3956.378193,LG
14.9528102,10.15843051,132.8437477,2309.666907,3154.374381,-4311.697122,LG
18.27268948,11.70518763,135.3617006,1721.214556,3325.778836,-3869.328231,LG
13.92013063,11.86831611,143.9593095,1997.387475,3415.323827,-4207.462969,LG
17.12801443,13.37976334,146.3812398,1414.458473,3578.992794,-3765.046071,LG
12.83670228,13.54221708,154.7337991,1678.28694,3662.824897,-4086.55712,LG
15.94756283,15.02639802,157.0270242,1101.434369,3818.414974,-3644.235162,LG
11.71029944,15.17688639,165.1179191,1353.623115,3895.921563,-3949.471502,LG
14.71138773,16.6141339,167.2697852,783.090642,4042.791504,-3507.198219,LG
10.52086658,16.74122776,175.0835077,1024.369004,4113.407326,-3796.547443,LG
13.42360194,18.13608922,177.0657259,460.7138671,4251.245612,-3354.517381,LG
9.294298606,18.25013493,184.572673,692.067478,4314.688688,-3628.568505,LG
12.10831418,19.60542807,186.3590681,135.8185982,4443.175846,-3186.984519,LG
8.034225722,19.69630529,193.5447181,357.9801751,4498.942311,-3446.177738,LG
10.75250406,20.99828154,195.121728,-190.5180573,4617.59902,-3005.141533,LG
6.730905649,21.05918698,201.970536,23.23572552,4665.271629,-3249.97621,LG
9.363887508,22.31165746,203.3137821,-516.9475033,4773.867289,-2809.767527,LG
5.404859088,22.34864854,209.8025019,-310.67483,4813.210163,-3040.867448,LG
7.959076371,23.55163866,210.8914291,-842.0343678,4911.491266,-2601.756127,LG
4.058159928,23.55631633,217.0080596,-642.5006141,4942.126746,-2819.643842,LG
6.530597766,24.7004483,217.8300314,-1164.635861,5029.7683,-2381.852028,LG
2.687692089,24.6688699,223.5609445,-971.0462638,5051.417575,-2587.111349,LG
5.087522875,25.75711533,224.0962921,-1483.410655,5128.28082,-2150.989051,LG
1.309667144,25.69260059,229.4242643,-1294.901706,5140.783552,-2344.277503,LG
3.641694505,26.72374501,229.6576641,-1797.013386,5206.708811,-1910.158311,LG
-0.074100473,26.61972627,234.5737779,-1612.856614,5209.822595,-2092.066297,LG
2.189773786,27.58760178,234.4949418,-2104.29791,5264.633092,-1660.266307,LG
-1.462668845,27.44195275,238.988837,-1923.723428,5258.212963,-1831.437748,LG
0.740945098,28.34885275,238.5832833,-2403.987095,5301.87171,-1402.361767,LG
-2.843190001,28.16328994,242.6435301,-2226.203463,5285.853141,-1563.481205,LG
-0.695974412,29.00771216,241.901036,-2694.847383,5318.311118,-1137.516209,LG
-4.213571873,28.77742363,245.5223653,-2519.164018,5292.59024,-1289.223551,LG
-2.121436314,29.55557412,244.4360345,-2975.787255,5313.813026,-866.7539352,LG
-5.570589235,29.27963855,247.6122212,-2801.488145,5278.375328,-1009.730705,LG
-3.52681695,29.99338885,246.1730057,-3245.642004,5288.43447,-591.1993689,LG
-6.90399462,29.67273812,248.8982516,-3072.019205,5243.323472,-726.1456543,LG
-4.905255606,30.32085464,247.1009966,-3503.317218,5242.288696,-311.977812,LG
-8.211328954,29.95226354,249.3741226,-3329.741308,5187.537417,-439.5626718,LG
